appid,sentiment_score
10,0.37258714506549506
20,0.38497269180754223
30,0.36976066212268743
40,0.3545426695842451
50,0.4435665709362436
60,0.34191190283400813
70,0.4812221814500822
80,0.3924035037878788
130,0.47344493293591655
220,0.4979784776902887
240,0.3850243672513284
280,0.4551054723127036
300,0.3824058439632157
320,0.34574987418218417
340,0.3729410030796304
360,0.3181607594936709
380,0.44561424528301885
400,0.5459215913289814
420,0.37347635887360836
440,0.47281079731499676
500,0.4002471754423364
550,0.4247538131844366
570,0.35598687783421623
620,0.5922413522012578
630,0.5584334803844336
1002,0.38353809523809523
1200,0.289707
1250,0.3491105188893946
1300,0.3410369402985075
1313,0.28714666666666666
1500,0.4947892045454545
1510,0.5085873134328358
1520,0.24253956386292833
1530,0.4528210743801653
1600,0.43127954545454544
1610,0.6070720930232558
1630,0.5913972727272728
1640,0.5412965
1690,0.42701226993865027
1700,0.567463963963964
1840,0.43724320896622915
1900,0.347803
1930,0.2914186952288218
2100,0.4639027744270205
2200,0.43115142276422763
2210,0.3388032362459547
2270,0.35615248990578735
2280,0.0413625
2290,-0.003783146067415732
2300,0.19065554435483872
2310,0.4220294943820225
2330,0.15951724137931036
2340,0.0024687500000000074
2350,0.5067535714285715
2360,0.5274315384615385
2370,0.2065107142857143
2390,0.3538914285714286
2400,0.27955290262172283
2420,0.24608922716627635
2450,0.30968886198547213
2500,0.4174281115879828
2520,0.29694814814814813
2540,0.1741014598540146
2570,-0.10215624999999999
2590,0.08747820069204151
2600,0.6315289845758355
2610,0.45782648221343875
2620,0.4247013487475916
2630,0.47550237430167597
2640,0.42785654450261784
2700,0.503668626402993
2710,0.56516
2720,0.4494
2780,0.2707157894736842
2800,0.5328470085470085
2810,0.4232592592592592
2820,0.4988490024937656
2840,0.45786071428571423
2850,0.3242592592592593
2870,0.22745170775170773
2900,0.522496
2910,0.5665412698412698
2920,0.3315133333333333
2990,0.5317064393939394
3000,0.4499886363636364
3010,0.573963768115942
3020,0.44303521739130436
3050,0.47815555555555556
3130,0.04692358490566037
3170,0.6194433962264151
3230,0.08475061728395061
3260,0.5252969565217391
3270,0.07870666666666667
3300,0.6145918032786885
3310,0.576235593220339
3320,0.4434655696202532
3330,0.479731884057971
3340,0.697685
3350,0.4798178571428572
3360,0.5875357142857143
3380,0.4589086956521739
3390,0.42007603305785124
3400,0.4362
3410,0.2609105263157895
3420,0.6362
3430,0.4880409090909091
3450,0.6276666666666667
3460,0.66282
3480,0.48669317738791423
3483,0.4701221590909091
3490,0.4988
3500,0.8128666666666667
3510,0.6642875
3520,0.6679444444444445
3530,0.7817666666666666
3540,0.5260233502538071
3560,0.5560142857142857
3580,0.540575
3590,0.5382133440085402
3600,0.5029344086021506
3610,0.6231
3620,0.4625512
3700,0.3541
3710,0.2679265625
3720,0.35382128475551294
3730,0.47063608815427
3800,0.4310752688172043
3810,0.345137
3820,0.28732137404580155
3830,0.6405156138790036
3900,0.4364419402985075
3910,0.4931903474903475
3920,0.5260534334763948
3960,0.26789846153846153
3980,0.5860785714285714
3990,0.261294
4000,0.39881069675801545
4100,0.315
4230,0.3520595744680851
4300,0.213653125
4420,0.3138972222222222
4460,0.19635333333333335
4470,0.23967368421052632
4500,0.3668213781512605
4520,0.36896
4530,0.34376511627906975
4560,0.5361787716955941
4570,0.4901647328244275
4580,0.43537651515151515
4720,-0.008169945355191258
4760,0.40807541980312684
4770,0.23298750000000001
4800,0.5336149253731344
4850,0.45945806451612903
4870,0.35002424242424246
4880,0.3161808510638298
4890,0.4147094339622642
4900,0.62361875
4920,0.5896419540229885
6000,0.42572590604026844
6010,0.6823363636363636
6020,0.4435443839875632
6030,0.41104886792452827
6040,0.7127147239263804
6060,0.39125072317524384
6080,0.520114598540146
6090,0.458125
6120,0.3113223113964687
6200,0.317363249516441
6210,0.4338171052631579
6220,0.4798193023255814
6250,0.41618566552901026
6270,0.26234146341463416
6300,0.6829791086350975
6310,0.7441977064220184
6370,0.531380310880829
6400,0.4516
6420,0.5269242307692308
6510,0.3703185950413223
6550,0.199113006993007
6800,0.4452341530054645
6810,0.27226534653465345
6840,0.275273595505618
6850,0.42764038834951457
6860,0.3833365161805833
6880,0.36574516938519447
6900,0.29070225988700565
6910,0.507003743315508
6920,0.35094706927175845
6980,0.36228684210526313
7000,0.5518022371364653
7010,0.4472959459459459
7020,0.5472298969072165
7110,0.5343421991084696
7200,0.6505770083102493
7210,0.6053344827586207
7220,0.3403941176470588
7260,0.31109444444444445
7340,0.5304
7510,0.10936132075471698
7520,0.3265890963855421
7530,0.26589529411764706
7600,0.47285119196988706
7610,0.5387156378600824
7620,0.6176493506493507
7650,0.22336575342465753
7660,0.4054653846153846
7670,0.5536306040122111
7730,0.21583396226415094
7760,0.41238470873786404
7770,0.06445945945945947
7830,0.3455555377207063
7840,0.1299125
7860,0.10693460207612457
7940,0.49587293108220315
8000,0.5502540404040405
8040,0.6705
8060,0.64182
